0	40	50	0	0	1236	0
1	42	66	40	65	146	90
2	42	65	50	15	67	90
3	40	69	20	621	702	90
4	38	68	20	255	324	90
5	38	70	10	534	605	90
6	35	69	10	448	505	90
7	22	75	30	30	92	90
8	20	85	40	475	528	90
9	15	75	20	179	254	90
10	15	80	10	278	345	90
11	30	50	10	10	73	90
12	28	55	10	732	777	0
13	25	52	40	169	224	90
14	23	55	20	546	593	90
15	20	50	10	358	405	90
16	20	55	10	449	504	90
17	10	40	30	31	100	90
18	8	40	40	87	158	90
19	5	35	10	283	344	90
20	5	45	10	665	716	0
21	0	40	30	479	522	90
22	33	32	20	68	149	90
23	33	35	40	16	80	90
24	32	30	50	359	412	90
25	30	30	30	541	600	90
26	28	35	10	1001	1066	90
27	26	32	10	815	880	90
28	25	30	10	725	786	0
29	44	5	20	286	347	90
30	42	50	40	186	257	90
31	40	51	80	385	436	90
32	40	15	40	35	87	90
33	50	35	20	262	317	90
34	50	40	50	171	218	90
35	48	30	10	632	693	0
36	48	40	50	76	129	90
37	47	35	10	826	875	90
38	47	40	40	12	77	90
39	95	35	20	293	360	90
40	90	35	10	203	260	90
41	88	35	20	109	170	0
42	87	30	10	668	731	90
43	85	35	30	47	124	90
44	75	55	20	369	420	90
45	70	58	20	458	523	90
46	66	55	10	173	238	90
47	65	55	20	85	144	90
48	60	55	10	20	84	90
49	67	85	20	368	441	90
50	60	80	10	95	156	90
51	60	85	30	561	622	0
52	58	75	20	30	84	90
53	55	85	20	647	726	90
